Car,Location,Fuel,Transmission,Owner,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP
Chevrolet Cruze LTZ,Mumbai,Diesel,Manual,First,65000,2011,12,17.9,1998.0,163.7,5.0,0.0,4.55
Mercedes-Benz M-Class ML 350 4Matic,Pune,Diesel,Automatic,First,69000,2015,8,0.0,2987.0,165.0,5.0,0.0,38.0
Maruti Ritz LDi,Jaipur,Diesel,Manual,First,79232,2011,12,21.1,1248.0,73.9,5.0,0.0,2.9
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,Petrol,Automatic,Second,220000,2007,16,11.74,1796.0,186.0,5.0,0.0,6.0
Hyundai i20 1.2 Magna Executive,Kochi,Petrol,Manual,First,28470,2016,7,18.6,1197.0,81.83,5.0,0.0,6.95
Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,Petrol,Manual,First,9759,2014,9,20.3,998.0,68.05,5.0,0.0,2.75
Maruti Swift VDI,Pune,Diesel,Manual,First,75216,2014,9,22.9,1248.0,74.0,5.0,0.0,5.1
Hyundai i20 Sportz 1.2,Chennai,Petrol,Manual,First,8000,2017,6,18.6,1197.0,81.83,5.0,0.0,6.75
Maruti Ritz ZXi,Mumbai,Petrol,Manual,First,59451,2014,9,18.5,1197.0,85.8,5.0,0.0,3.69
Maruti Swift VDI,Hyderabad,Diesel,Manual,First,53996,2013,10,22.9,1248.0,74.0,5.0,0.0,5.45
Honda WRV i-VTEC VX,Kochi,Petrol,Manual,First,15135,2018,5,17.5,1199.0,88.7,5.0,10.57,9.29
Hyundai Xcent 1.2 Kappa AT S Option,Chennai,Petrol,Automatic,Second,53000,2015,8,16.9,1197.0,81.86,5.0,0.0,4.0
Honda Amaze E i-Vtech,Kolkata,Petrol,Manual,First,40000,2013,10,18.0,1198.0,86.7,5.0,0.0,2.9
Hyundai Verna 1.6 SX VTVT (O),Pune,Petrol,Manual,First,21107,2013,10,17.1,1591.0,121.3,5.0,0.0,5.25
Honda City V MT,Mumbai,Petrol,Manual,First,56000,2014,9,16.8,1497.0,116.3,5.0,0.0,5.75
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,Petrol,Manual,First,19623,2017,6,15.29,1591.0,121.3,5.0,0.0,13.12
Mahindra XUV500 W8 2WD,Kochi,Diesel,Manual,First,70963,2014,9,15.1,2179.0,140.0,7.0,0.0,7.83
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,Diesel,Manual,First,51450,2013,10,12.8,2494.0,102.0,7.0,0.0,10.4
Maruti Swift VDI,Pune,Diesel,Manual,First,75000,2012,11,22.9,1248.0,74.0,5.0,0.0,4.35
Maruti Wagon R VXI AMT,Coimbatore,Petrol,Automatic,First,37832,2017,6,22.5,998.0,67.0,5.0,6.33,5.23
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,Petrol,Manual,First,43041,2016,7,18.9,1197.0,81.86,5.0,8.1,6.01
Honda Amaze VX i-DTEC,Hyderabad,Diesel,Manual,First,97236,2014,9,25.8,1498.0,98.6,5.0,0.0,4.4
BMW 3 Series 320d Highline,Chennai,Diesel,Automatic,First,83000,2010,13,16.07,1995.0,181.0,5.0,0.0,12.75
Ford Figo Petrol Titanium,Delhi,Petrol,Manual,First,65000,2011,12,15.6,1196.0,70.0,5.0,0.0,2.4
Volkswagen Ameo 1.2 MPI Trendline,Kochi,Petrol,Manual,First,46007,2018,5,17.0,1198.0,73.75,5.0,0.0,5.71
Ford Ecosport 1.5 DV5 MT Trend,Kochi,Diesel,Manual,Second,65925,2015,8,22.7,1498.0,89.84,5.0,0.0,5.49
Honda City 1.3 EXI,Pune,Petrol,Manual,Second,73500,2004,19,13.0,1343.0,90.0,5.0,0.0,1.3
Mahindra XUV500 W6 2WD,Kolkata,Diesel,Manual,First,55000,2014,9,16.0,2179.0,140.0,7.0,0.0,8.5
Toyota Fortuner 4x2 Manual,Delhi,Diesel,Manual,First,115000,2012,11,13.0,2982.0,168.5,7.0,0.0,12.99
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,Petrol,Manual,First,31184,2017,6,18.9,1197.0,81.86,5.0,6.4,5.0
Maruti Dzire AMT ZDI Plus,Pune,Diesel,Automatic,First,41747,2017,6,28.4,1248.0,73.75,5.0,11.26,9.0
Maruti Swift VDI,Kochi,Diesel,Manual,First,38143,2016,7,22.9,1248.0,74.0,5.0,0.0,5.22
Volkswagen Polo Petrol Highline 1.2L,Pune,Petrol,Manual,First,19030,2012,11,16.47,1198.0,73.9,5.0,0.0,3.8
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,Petrol,Manual,First,20877,2019,4,18.16,1197.0,78.9,5.0,7.59,7.27
Maruti Swift VXI,Mumbai,Petrol,Manual,First,23555,2016,7,22.0,1197.0,81.8,5.0,7.0,5.1
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,Diesel,Automatic,First,29000,2013,10,14.21,2143.0,203.0,5.0,0.0,29.0
Maruti Wagon R VXI,Pune,Petrol,Manual,First,61000,2013,10,18.9,998.0,67.1,5.0,0.0,2.9
Tata Nano Lx BSIV,Kochi,Petrol,Manual,First,4187,2012,11,26.0,624.0,35.0,4.0,0.0,1.38
Skoda Laura 1.8 TSI Ambiente,Bangalore,Petrol,Manual,First,46000,2011,12,13.4,1798.0,157.8,5.0,0.0,5.5
Volkswagen Polo GT TSI,Mumbai,Petrol,Automatic,First,28000,2016,7,17.21,1197.0,103.5,5.0,11.26,7.25
Hyundai Verna 1.6 SX,Coimbatore,Diesel,Manual,First,83558,2014,9,22.32,1582.0,126.32,5.0,0.0,6.98
Tata Bolt Quadrajet XE,Hyderabad,Diesel,Manual,First,40000,2017,6,22.95,1248.0,74.0,5.0,7.43,5.25
Hyundai EON D Lite Plus,Kolkata,Petrol,Manual,First,36000,2013,10,21.1,814.0,55.2,5.0,0.0,1.95
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,Diesel,Automatic,First,21000,2014,9,17.11,1968.0,174.33,5.0,0.0,24.5
Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,Diesel,Manual,First,62162,2013,10,12.99,2494.0,100.0,7.0,0.0,8.31
Mercedes-Benz M-Class ML 350 CDI,Hyderabad,Diesel,Automatic,First,83000,2012,11,11.74,2987.0,254.8,5.0,0.0,36.0
Hyundai Xcent 1.1 CRDi S,Pune,Diesel,Manual,First,58000,2015,8,24.4,1120.0,71.0,5.0,0.0,5.5
Honda Accord 2.4 AT,Kochi,Petrol,Automatic,First,62332,2011,12,11.7,2354.0,177.6,5.0,0.0,5.89
Volkswagen Vento 1.5 TDI Highline,Kochi,Diesel,Manual,First,50867,2016,7,20.34,1498.0,103.2,5.0,0.0,7.95
Hyundai i20 Sportz Petrol,Mumbai,Petrol,Manual,First,73000,2010,13,17.0,1197.0,80.0,5.0,0.0,2.75
Hyundai Elantra CRDi SX,Jaipur,Diesel,Manual,First,98008,2012,11,22.7,1582.0,126.24,5.0,0.0,6.25
Ford Figo Diesel Titanium,Hyderabad,Diesel,Manual,First,36000,2015,8,20.0,1399.0,68.05,5.0,0.0,4.95
Hyundai i20 1.2 Magna Executive,Kochi,Petrol,Manual,First,27339,2019,4,18.6,1197.0,81.83,5.0,0.0,6.27
Hyundai Verna 1.6 CRDi SX,Kolkata,Diesel,Manual,First,25000,2017,6,23.9,1582.0,126.2,5.0,0.0,8.65
Hyundai Grand i10 Asta,Kolkata,Petrol,Manual,First,37000,2014,9,18.9,1197.0,82.0,5.0,0.0,3.5
Audi Q5 2.0 TDI,Hyderabad,Diesel,Automatic,First,56000,2015,8,14.16,1968.0,174.3,5.0,0.0,35.0
Maruti Swift Dzire ZXi,Kolkata,Petrol,Manual,First,27000,2015,8,17.5,1298.0,85.8,5.0,0.0,4.45
Hyundai i20 Magna,Kolkata,Petrol,Manual,First,37000,2012,11,18.5,1197.0,80.0,5.0,0.0,2.65
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,Diesel,Manual,First,10500,2017,6,25.32,1198.0,77.0,5.0,0.0,4.7
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,Diesel,Automatic,First,49000,2014,9,18.23,1582.0,126.2,5.0,22.43,8.9
Jeep Compass 2.0 Limited Option Black,Mumbai,Diesel,Manual,First,7000,2017,6,17.1,1956.0,170.0,5.0,24.02,17.45
Maruti Vitara Brezza VDi Option,Coimbatore,Diesel,Manual,First,71256,2017,6,24.3,1248.0,88.5,5.0,0.0,9.58
Toyota Corolla Altis 1.8 GL,Kochi,Petrol,Manual,First,83184,2012,11,14.28,1798.0,138.03,5.0,21.69,6.22
Mahindra XUV500 W8 2WD,Kolkata,Diesel,Manual,First,87284,2013,10,15.1,2179.0,140.0,7.0,0.0,7.8
BMW X1 xDrive 20d xLine,Mumbai,Diesel,Automatic,First,7000,2016,7,20.68,1995.0,190.0,5.0,0.0,27.75
Hyundai i20 Magna 1.4 CRDi,Pune,Diesel,Manual,Second,29000,2015,8,22.54,1396.0,88.73,5.0,0.0,7.0
Mercedes-Benz GLE 350d,Coimbatore,Diesel,Automatic,First,33552,2017,6,11.57,2987.0,254.79,5.0,95.13,64.87
Chevrolet Cruze LTZ,Bangalore,Diesel,Manual,Second,64000,2013,10,17.3,1998.0,163.7,5.0,0.0,6.5
Hyundai i20 1.2 Magna,Jaipur,Petrol,Manual,Second,82000,2011,12,18.5,1197.0,80.0,5.0,0.0,2.7
Honda Brio S MT,Mumbai,Petrol,Manual,Second,70000,2012,11,19.4,1198.0,86.8,5.0,0.0,2.5
Nissan Evalia 2013 XL,Hyderabad,Diesel,Manual,First,166194,2013,10,19.3,1461.0,84.8,7.0,0.0,3.9
Volkswagen Polo Petrol Trendline 1.2L,Delhi,Petrol,Manual,First,58000,2015,8,16.47,1198.0,73.9,5.0,0.0,3.95
Hyundai i10 Sportz 1.2,Chennai,Petrol,Manual,Second,77000,2010,13,20.36,1197.0,78.9,5.0,0.0,2.1
Chevrolet Cruze LTZ AT,Pune,Diesel,Automatic,Third,73204,2009,14,18.1,1991.0,147.9,4.0,0.0,3.5
Hyundai i10 Era,Hyderabad,Petrol,Manual,Second,70000,2007,16,19.81,1086.0,68.05,5.0,0.0,2.0
Maruti Ertiga VDI,Delhi,Diesel,Manual,First,79870,2014,9,20.77,1248.0,88.76,7.0,0.0,5.35
Honda Amaze S i-Dtech,Delhi,Diesel,Manual,First,90000,2013,10,25.8,1498.0,98.6,5.0,0.0,3.8
Mercedes-Benz A Class A180 Sport,Mumbai,Petrol,Automatic,First,17000,2016,7,15.5,1595.0,122.0,5.0,34.63,17.25
Hyundai Grand i10 1.2 Kappa Magna,Kochi,Petrol,Manual,First,46493,2018,5,18.9,1197.0,81.86,5.0,6.32,5.53
Hyundai i10 Sportz 1.2,Pune,Petrol,Manual,Third,68000,2009,14,20.36,1197.0,78.9,5.0,0.0,1.95
Maruti Swift DDiS ZDI Plus,Hyderabad,Diesel,Manual,First,2000,2017,6,28.4,1248.0,74.0,5.0,0.0,8.2
Honda City 1.3 EXI,Pune,Petrol,Manual,First,140000,1999,24,13.0,1343.0,90.0,5.0,0.0,0.9
Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,Diesel,Manual,Third,255000,2013,10,12.99,2494.0,100.6,7.0,0.0,6.5
Mini Cooper Countryman D High,Coimbatore,Diesel,Automatic,First,45535,2014,9,23.8,1998.0,112.0,5.0,0.0,19.41
Fiat Linea T-Jet Active,Coimbatore,Petrol,Manual,First,39228,2016,7,15.7,1368.0,112.4,5.0,0.0,6.58
Chevrolet Aveo 1.4 LT,Mumbai,Petrol,Manual,Second,57000,2011,12,14.49,1399.0,92.7,5.0,0.0,2.1
Hyundai i10 Era 1.1,Chennai,Petrol,Manual,Second,85445,2008,15,19.81,1086.0,68.05,5.0,0.0,2.0
Hyundai Xcent 1.1 CRDi Base,Delhi,Diesel,Manual,First,54000,2015,8,24.4,1120.0,71.0,5.0,0.0,3.7
Maruti Celerio VXI AT,Mumbai,Petrol,Automatic,First,53000,2014,9,23.1,998.0,67.04,5.0,0.0,3.8
Hyundai i10 Sportz,Jaipur,Petrol,Manual,First,60000,2014,9,20.36,1197.0,78.9,5.0,0.0,3.25
Renault Duster 85PS Diesel RxL,Coimbatore,Diesel,Manual,First,65668,2015,8,19.87,1461.0,83.8,5.0,0.0,5.53
BMW 3 Series 320d,Ahmedabad,Diesel,Automatic,Second,100000,2011,12,22.69,1995.0,190.0,5.0,43.31,10.9
Hyundai Grand i10 Sportz,Kolkata,Petrol,Manual,First,1800,2018,5,18.9,1197.0,82.0,5.0,0.0,5.1
Chevrolet Spark 1.0 LS,Pune,Petrol,Manual,Second,44200,2009,14,18.0,995.0,62.0,5.0,0.0,1.6
Honda City i VTEC VX Option,Ahmedabad,Petrol,Manual,First,14000,2018,5,17.4,1497.0,117.3,5.0,0.0,11.25
Volkswagen Vento Diesel Highline,Chennai,Diesel,Manual,First,720000,2013,10,20.54,1598.0,103.6,5.0,0.0,5.9
Toyota Fortuner 4x2 4 Speed AT,Delhi,Diesel,Automatic,First,73000,2012,11,11.5,2982.0,169.0,7.0,0.0,14.4
Honda City 1.5 S MT,Delhi,Petrol,Manual,First,68000,2011,12,17.0,1497.0,118.0,5.0,0.0,3.6
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,Diesel,Automatic,First,19543,2017,6,18.12,1995.0,190.0,5.0,0.0,40.5
Audi Q5 30 TDI quattro Premium Plus,Bangalore,Diesel,Automatic,Second,38000,2014,9,14.16,1968.0,174.3,5.0,0.0,38.95
Maruti Ritz LDi,Delhi,Diesel,Manual,First,32805,2014,9,23.2,1248.0,73.94,5.0,0.0,3.6
Volkswagen Vento 1.5 TDI Highline AT,Kochi,Diesel,Automatic,First,44782,2016,7,21.21,1498.0,103.2,5.0,0.0,7.12
Honda City i DTEC SV,Kochi,Diesel,Manual,First,55700,2016,7,26.0,1498.0,98.6,5.0,0.0,7.52
Audi A4 New 2.0 TDI Multitronic,Delhi,Diesel,Automatic,Second,60000,2012,11,15.2,1968.0,140.8,5.0,0.0,10.35
Skoda Rapid 1.6 MPI Elegance,Hyderabad,Petrol,Manual,First,56000,2014,9,15.0,1598.0,103.52,5.0,0.0,7.0
Toyota Fortuner 3.0 Diesel,Delhi,Diesel,Manual,First,60000,2011,12,11.5,2982.0,171.0,7.0,0.0,10.85
Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,Diesel,Manual,First,78563,2010,13,16.52,1991.0,123.7,5.0,0.0,2.35
Maruti Eeco 7 Seater Standard,Mumbai,Petrol,Manual,First,34669,2014,9,15.1,1196.0,73.0,7.0,4.71,2.9
Maruti Ciaz ZXi,Delhi,Petrol,Manual,First,17000,2017,6,20.73,1373.0,91.1,5.0,0.0,7.65
Maruti Ciaz VDi Plus SHVS,Delhi,Diesel,Manual,First,66000,2016,7,28.09,1248.0,88.5,5.0,0.0,6.4
Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,Diesel,Manual,First,102418,2014,9,12.99,2494.0,100.6,7.0,0.0,10.1
Maruti Swift Dzire VXI,Kolkata,Petrol,Manual,First,48800,2014,9,19.1,1197.0,85.8,5.0,0.0,4.25
Toyota Innova Crysta 2.8 GX AT,Kochi,Diesel,Automatic,First,10601,2019,4,11.36,2755.0,171.5,7.0,20.74,19.65
Tata Indica V2 eLX,Pune,Diesel,Manual,First,8200,2017,6,25.0,1396.0,69.0,5.0,0.0,4.4
Hyundai i20 Magna,Jaipur,Petrol,Manual,First,100000,2012,11,18.5,1197.0,82.85,5.0,0.0,3.25
Ford Fiesta 1.4 Duratorq ZXI,Pune,Diesel,Manual,First,78000,2012,11,17.8,1399.0,68.0,5.0,0.0,2.8
Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,Diesel,Manual,First,50000,2015,8,18.2,1248.0,73.74,8.0,0.0,4.3
Ford Fiesta 1.4 Duratorq EXI,Chennai,Diesel,Manual,Third,89327,2006,17,17.8,1399.0,68.0,5.0,0.0,1.55
Honda CR-V 2.4 MT,Chennai,Petrol,Manual,Second,98000,2007,16,10.8,2354.0,152.0,5.0,0.0,4.7
Honda Jazz 1.2 VX i VTEC,Kochi,Petrol,Manual,First,24700,2017,6,18.7,1199.0,88.7,5.0,0.0,7.07
Mercedes-Benz GLS 350d Grand Edition,Delhi,Diesel,Automatic,First,6000,2018,5,11.0,2987.0,258.0,7.0,102.0,79.0
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,Petrol,Manual,First,9434,2018,5,18.9,1197.0,81.86,5.0,6.71,5.75
Maruti Ritz VXi,Mumbai,Petrol,Manual,First,29000,2012,11,18.5,1197.0,85.8,5.0,0.0,3.25
Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,Diesel,Automatic,First,22440,2017,6,22.0,1498.0,108.495,5.0,0.0,8.89
Honda City i VTEC SV,Mumbai,Petrol,Manual,First,73070,2015,8,17.4,1497.0,117.3,5.0,0.0,5.9
Honda Jazz 1.2 S i VTEC,Kolkata,Petrol,Manual,First,21771,2016,7,18.7,1199.0,88.7,5.0,0.0,4.95
Maruti Swift Ldi BSIV,Delhi,Diesel,Manual,First,62000,2014,9,17.8,1248.0,75.0,5.0,0.0,3.75
Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,Diesel,Automatic,First,37024,2017,6,17.01,1582.0,126.2,5.0,0.0,10.97
Audi A7 2011-2015 3.0 TDI Quattro,Kochi,Diesel,Automatic,Second,60336,2014,9,14.4,2967.0,241.4,5.0,0.0,24.94
Hyundai EON D Lite Plus,Kolkata,Petrol,Manual,First,26008,2014,9,21.1,814.0,55.2,5.0,0.0,1.97
Ford Figo Diesel EXI,Jaipur,Diesel,Manual,Second,90000,2010,13,20.0,1399.0,68.0,5.0,0.0,1.4
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,Petrol,Manual,First,35569,2018,5,17.0,1198.0,73.75,5.0,8.68,7.27
Renault Scala Diesel RxL,Kolkata,Diesel,Manual,First,40000,2013,10,21.64,1461.0,84.8,5.0,0.0,4.0
Honda Jazz 1.2 V i VTEC,Kolkata,Petrol,Manual,First,45000,2015,8,18.7,1199.0,88.7,5.0,0.0,4.75
Hyundai i20 1.2 Sportz,Delhi,Petrol,Manual,First,42000,2015,8,17.0,1197.0,80.0,5.0,0.0,5.1
Audi A4 3.0 TDI Quattro Premium,Coimbatore,Diesel,Automatic,First,46913,2012,11,14.94,2967.0,241.4,5.0,0.0,16.11
Mahindra Ssangyong Rexton RX7,Delhi,Diesel,Automatic,First,62000,2014,9,11.18,2696.0,184.0,7.0,0.0,10.55
Toyota Fortuner 2.8 2WD AT,Ahmedabad,Diesel,Automatic,First,15000,2017,6,12.9,2755.0,174.5,7.0,34.45,30.0
Skoda Octavia Classic 1.9 TDI MT,Kolkata,Diesel,Manual,First,69000,2002,21,18.7,1896.0,66.0,5.0,0.0,1.6
Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,Diesel,Automatic,First,41367,2012,11,15.8,2148.0,170.0,5.0,0.0,18.49
Maruti Ciaz 1.4 Zeta,Kochi,Petrol,Manual,First,15982,2018,5,20.73,1373.0,91.1,5.0,0.0,9.96
Maruti Swift ZDi,Hyderabad,Diesel,Manual,Second,99595,2013,10,22.9,1248.0,74.0,5.0,0.0,4.75
Toyota Qualis FS B3,Bangalore,Diesel,Manual,Third,63000,2002,21,13.1,2446.0,75.0,10.0,0.0,3.65
BMW 5 Series 2007-2010 525d Sedan,Delhi,Diesel,Automatic,Second,49000,2012,11,16.73,2495.0,218.0,5.0,0.0,15.5
Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,Diesel,Manual,First,48272,2013,10,10.5,2835.0,116.9,6.0,0.0,11.82
Toyota Corolla H2,Delhi,Petrol,Manual,First,63000,2008,15,13.4,1794.0,125.0,5.0,0.0,2.05
Maruti Omni E MPI STD BS IV,Mumbai,Petrol,Manual,First,11734,2013,10,16.8,796.0,34.2,8.0,0.0,2.25
Audi A6 2011-2015 2.0 TDI,Kochi,Diesel,Automatic,First,62012,2014,9,17.68,1968.0,174.33,5.0,0.0,20.12
Honda Jazz 1.5 S i DTEC,Coimbatore,Diesel,Manual,First,45449,2016,7,27.3,1498.0,98.6,5.0,0.0,7.48
Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,Petrol,Automatic,Second,85000,2004,19,10.5,1796.0,157.7,5.0,0.0,5.5
Audi A4 2.0 TDI,Kochi,Diesel,Automatic,First,45330,2013,10,16.55,1968.0,147.51,5.0,0.0,13.19
Maruti Swift Dzire VXI,Mumbai,Petrol,Manual,First,88000,2012,11,19.1,1197.0,85.8,5.0,0.0,3.85
Maruti Dzire VDI,Delhi,Diesel,Manual,First,45376,2016,7,28.4,1248.0,73.75,5.0,8.58,5.75
Mahindra XUV500 W8 4WD,Pune,Diesel,Manual,First,81000,2014,9,15.1,2179.0,140.0,7.0,0.0,9.0
Chevrolet Beat LT,Kochi,Petrol,Manual,First,83381,2012,11,18.6,1199.0,79.4,5.0,0.0,2.21
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,Diesel,Manual,First,78526,2017,6,23.0,1498.0,98.96,5.0,12.67,8.09
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,Diesel,Automatic,First,27313,2017,6,14.69,2993.0,258.0,5.0,0.0,48.63
Audi Q5 30 TDI quattro Premium Plus,Coimbatore,Diesel,Automatic,Second,42747,2015,8,14.16,1968.0,174.3,5.0,0.0,39.47
BMW X1 sDrive 20d xLine,Coimbatore,Diesel,Automatic,Second,42265,2015,8,20.68,1995.0,190.0,5.0,48.18,22.24
Hyundai i10 Magna AT,Mumbai,Petrol,Automatic,First,21000,2009,14,19.2,1197.0,80.0,5.0,0.0,2.6
Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,Diesel,Automatic,First,55100,2016,7,17.01,1582.0,126.2,5.0,0.0,12.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,Diesel,Automatic,First,70000,2014,9,17.11,1968.0,174.33,5.0,0.0,18.0
Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,Petrol,Automatic,Third,55000,2007,16,10.13,3498.0,364.9,5.0,0.0,9.99
Hyundai i10 Magna,Kolkata,Petrol,Manual,First,58235,2012,11,20.36,1197.0,78.9,5.0,0.0,2.45
Ford EcoSport 1.5 Diesel Titanium,Mumbai,Diesel,Manual,First,26000,2017,6,23.0,1498.0,98.96,5.0,11.89,8.99
Volkswagen Vento Diesel Highline,Kolkata,Diesel,Manual,First,35000,2011,12,20.54,1598.0,103.6,5.0,0.0,3.15
Maruti Dzire ZDI Plus,Jaipur,Diesel,Manual,First,24000,2017,6,28.4,1248.0,73.75,5.0,10.48,8.2
Mahindra Scorpio 1.99 S10,Ahmedabad,Diesel,Manual,First,98000,2016,7,15.4,1997.0,120.0,7.0,0.0,11.5
Hyundai i20 Asta 1.4 CRDi,Coimbatore,Diesel,Manual,First,44487,2016,7,22.54,1396.0,88.73,5.0,0.0,7.3
Maruti Alto LXi,Chennai,Petrol,Manual,First,65000,2008,15,19.7,796.0,46.3,5.0,0.0,1.59
Hyundai i10 Magna,Delhi,Petrol,Manual,Second,34951,2015,8,20.36,1197.0,78.9,5.0,0.0,3.15
Mahindra Scorpio S6 7 Seater,Kolkata,Diesel,Manual,Second,52373,2015,8,15.4,2179.0,120.0,7.0,0.0,8.5
Skoda Fabia 1.2L Diesel Classic,Hyderabad,Diesel,Manual,First,66285,2010,13,19.5,1199.0,75.0,5.0,0.0,3.0
BMW X5 xDrive 30d,Mumbai,Diesel,Automatic,First,66000,2012,11,15.3,2993.0,258.0,5.0,0.0,21.0
Honda Jazz 1.5 S i DTEC,Hyderabad,Diesel,Manual,First,43000,2016,7,27.3,1498.0,98.6,5.0,0.0,7.75
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,Diesel,Automatic,First,45200,2013,10,10.0,2148.0,170.0,5.0,0.0,23.0
Mahindra XUV500 AT W10 FWD,Mumbai,Diesel,Automatic,First,41000,2016,7,16.0,2179.0,140.0,7.0,0.0,13.75
Honda City i VTEC CVT SV,Kochi,Petrol,Automatic,First,39430,2017,6,18.0,1497.0,117.3,5.0,0.0,8.29
Maruti Swift VDI,Coimbatore,Diesel,Manual,First,83274,2014,9,22.9,1248.0,74.0,5.0,0.0,5.79
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,Diesel,Automatic,First,32324,2017,6,14.84,2143.0,170.0,5.0,0.0,30.5
Honda City 1.5 S MT,Mumbai,Petrol,Manual,First,49999,2011,12,17.0,1497.0,118.0,5.0,0.0,3.8
Tata Sumo EX,Bangalore,Diesel,Manual,First,66000,2014,9,15.3,2956.0,83.8,7.0,0.0,4.45
Hyundai i20 Magna,Delhi,Petrol,Manual,First,54000,2012,11,18.5,1197.0,82.85,5.0,0.0,3.3
Fiat Linea 1.3 Dynamic,Jaipur,Diesel,Manual,Second,80000,2009,14,20.4,1248.0,91.2,5.0,0.0,1.75
Honda Civic 2006-2010 1.8 V AT,Bangalore,Petrol,Automatic,Second,72000,2011,12,12.9,1799.0,130.0,5.0,0.0,5.5
Hyundai Creta 1.6 SX Plus Diesel,Pune,Diesel,Manual,First,44865,2017,6,19.67,1582.0,126.2,5.0,0.0,13.35
Audi A3 35 TDI Technology,Delhi,Diesel,Automatic,Second,22000,2017,6,20.38,1968.0,143.0,5.0,0.0,22.5
Hyundai Verna VTVT 1.6 SX Option,Delhi,Petrol,Manual,Second,57478,2013,10,17.0,1591.0,121.3,5.0,13.59,5.25
Hyundai i20 1.4 CRDi Magna,Hyderabad,Diesel,Manual,First,75000,2011,12,21.9,1396.0,90.0,5.0,0.0,3.75
Honda Mobilio S i DTEC,Kochi,Diesel,Manual,First,50624,2015,8,24.2,1498.0,98.6,7.0,0.0,6.32
Hyundai Verna 1.6 SX CRDI (O) AT,Bangalore,Diesel,Automatic,First,75000,2018,5,22.32,1582.0,126.32,5.0,0.0,7.75
Ford Fiesta 1.6 ZXI Duratec,Chennai,Petrol,Manual,Second,87000,2006,17,15.3,1596.0,101.0,5.0,0.0,1.37
Hyundai i10 Sportz 1.2,Mumbai,Petrol,Manual,First,62000,2010,13,20.36,1197.0,78.9,5.0,0.0,2.1
Maruti Vitara Brezza ZDi,Hyderabad,Diesel,Manual,First,41372,2016,7,24.3,1248.0,88.5,5.0,11.02,9.3
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,Diesel,Manual,First,70000,2015,8,12.99,2494.0,100.6,7.0,0.0,12.0
Mercedes-Benz GLA Class 200 d Sport,Pune,Diesel,Automatic,First,35000,2017,6,17.9,2143.0,136.0,5.0,41.94,23.5
Maruti Alto LXi BSIII,Hyderabad,Petrol,Manual,First,71993,2006,17,19.7,796.0,46.3,5.0,0.0,1.8
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Chennai,Diesel,Automatic,Second,62000,2013,10,14.84,2143.0,170.0,5.0,0.0,12.5
Maruti Swift LDI,Delhi,Diesel,Manual,First,51000,2015,8,22.9,1248.0,74.0,5.0,0.0,4.74
Hyundai Grand i10 Sportz,Kochi,Petrol,Manual,First,26038,2016,7,18.9,1197.0,82.0,5.0,0.0,5.43
Toyota Fortuner 4x4 AT,Kochi,Diesel,Automatic,Second,37713,2018,5,12.55,2982.0,168.5,7.0,0.0,31.62
Toyota Innova 2.0 GX 8 STR,Kolkata,Petrol,Manual,First,78088,2011,12,12.4,1998.0,132.0,8.0,0.0,6.3
Ford EcoSport 1.5 TDCi Titanium,Kochi,Diesel,Manual,First,30453,2017,6,22.77,1498.0,98.59,5.0,0.0,8.45
