Car,Location,ODO,Year,Age,Mileage,Engine,Power,Seats,CP,SP,Fuel_Diesel,Fuel_Petrol,Transmission_Automatic,Transmission_Manual,Owner_First,Owner_Fourth & Above,Owner_Second,Owner_Third
Hyundai Verna 1.6 SX VTVT,Mumbai,52001,2016,7,17.01,1591.0,121.3,5.0,0.0,6.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Tiago 1.2 Revotron XZ,Coimbatore,9565,2018,5,23.84,1199.0,84.0,5.0,6.59,5.88,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift LXI,Pune,32953,2013,10,18.6,1197.0,85.8,5.0,0.0,4.65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai EON Era,Jaipur,18000,2014,9,21.1,814.0,55.2,5.0,0.0,2.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class E 220 d,Kochi,20446,2018,5,12.6,1950.0,191.34,5.0,86.97,51.35,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i20 Magna 1.4 CRDi,Hyderabad,33016,2016,7,22.54,1396.0,88.73,5.0,0.0,6.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Etios VD,Chennai,48000,2012,11,23.59,1364.0,67.05,5.0,0.0,5.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Corolla Altis Diesel D4DG,Coimbatore,72022,2014,9,21.43,1364.0,87.2,5.0,0.0,9.23,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mini Cooper 5 DOOR D,Ahmedabad,34000,2014,9,20.7,1496.0,113.98,5.0,42.12,22.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Volkswagen Polo 1.5 TDI Highline,Hyderabad,69000,2014,9,20.14,1498.0,88.8,5.0,0.0,5.19,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Skoda Superb Elegance 1.8 TSI AT,Pune,108000,2009,14,13.7,1798.0,157.75,5.0,0.0,4.35,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,34700,2013,10,10.0,2148.0,170.0,5.0,0.0,24.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift VDi BSIII W/ ABS,Pune,79000,2015,8,17.8,1248.0,75.0,5.0,0.0,5.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda City i VTEC CVT VX,Kochi,58197,2016,7,18.0,1497.0,117.3,5.0,0.0,9.19,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 7 Series 2007-2012 740Li,Pune,66000,2008,15,8.45,2979.0,321.0,5.0,0.0,10.75,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Hyundai i10 Magna AT,Bangalore,60000,2009,14,19.2,1197.0,80.0,5.0,0.0,2.99,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift Dzire VDI,Kolkata,57000,2014,9,26.59,1248.0,74.0,5.0,0.0,3.89,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda City i DTec VX,Coimbatore,45555,2018,5,26.0,1498.0,98.6,5.0,0.0,11.73,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Omni 8 Seater BSIV,Coimbatore,55137,2016,7,14.0,796.0,35.0,5.0,0.0,3.11,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,93325,2014,9,17.2,1968.0,138.1,5.0,0.0,14.45,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti Ertiga SHVS VDI,Ahmedabad,38000,2018,5,24.52,1248.0,88.5,7.0,0.0,8.7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Grand i10 CRDi Magna,Kochi,57738,2016,7,24.0,1120.0,70.0,5.0,0.0,5.04,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Ciaz VDi Plus SHVS,Jaipur,38282,2017,6,28.09,1248.0,88.5,5.0,0.0,8.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,64000,2014,9,19.27,2143.0,170.0,5.0,0.0,15.65,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Fiat Avventura MULTIJET Emotion,Mumbai,32000,2015,8,20.5,1248.0,91.72,5.0,0.0,5.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,83000,2010,13,10.93,2497.0,204.0,5.0,0.0,16.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Volkswagen Vento Petrol Highline,Pune,67200,2012,11,15.04,1598.0,103.6,5.0,0.0,3.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
BMW 3 Series 320d Luxury Line,Jaipur,62655,2013,10,18.88,1995.0,184.0,5.0,0.0,14.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 5 Series 2013-2017 530d M Sport,Bangalore,16900,2015,8,14.69,2993.0,258.0,5.0,0.0,44.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai Grand i10 1.2 Kappa Magna,Delhi,8471,2017,6,18.9,1197.0,81.86,5.0,6.54,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,69000,2016,7,11.36,2755.0,171.5,7.0,26.56,19.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,30090,2017,6,19.6,1461.0,108.45,5.0,15.05,11.44,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Tata Indica Vista Aura 1.3 Quadrajet,Chennai,120000,2011,12,18.0,1248.0,75.0,5.0,0.0,1.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,35939,2016,7,12.3,1796.0,185.0,5.0,0.0,30.42,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra XUV500 W8 4WD,Coimbatore,116694,2013,10,15.1,2179.0,140.0,7.0,0.0,9.57,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra Bolero ZLX,Mumbai,40448,2016,7,15.96,2523.0,62.1,7.0,11.01,3.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Vitara Brezza ZDi,Coimbatore,64456,2018,5,24.3,1248.0,88.5,5.0,11.0,10.46,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Fiat Avventura MULTIJET Emotion,Pune,52782,2014,9,20.5,1248.0,91.72,5.0,0.0,4.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Amaze S Petrol,Kochi,51672,2016,7,19.5,1199.0,88.76,5.0,7.55,5.68,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Skoda Superb Elegance 1.8 TSI AT,Mumbai,56073,2015,8,13.7,1798.0,157.75,5.0,0.0,13.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,65000,2011,12,14.74,2993.0,270.9,5.0,0.0,16.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Wagon R VXI BSIII,Chennai,79000,2013,10,18.9,998.0,67.1,5.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Corolla Altis VL,Mumbai,70200,2010,13,14.53,1798.0,138.1,5.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift VXi BSIV,Delhi,42000,2016,7,16.1,1197.0,85.0,5.0,0.0,4.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Polo 1.2 MPI Highline,Bangalore,62000,2014,9,16.47,1198.0,74.0,5.0,0.0,5.35,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,20000,2017,6,18.9,1197.0,81.86,5.0,7.82,5.98,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti SX4 ZDI,Chennai,80000,2011,12,21.5,1248.0,88.8,5.0,0.0,3.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Hyundai Grand i10 1.2 Kappa Magna,Kochi,50234,2018,5,18.9,1197.0,81.86,5.0,6.32,4.77,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Baleno Delta 1.2,Delhi,50003,2016,7,21.4,1197.0,83.1,5.0,0.0,5.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Tigor 1.2 Revotron XTA,Ahmedabad,1000,2018,5,20.3,1199.0,84.0,5.0,0.0,6.85,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift Dzire AMT ZDI,Jaipur,54897,2016,7,26.59,1248.0,74.0,5.0,0.0,7.3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Tata Indica GLS BS IV,Pune,108995,2007,16,15.3,1193.0,65.3,5.0,0.0,1.25,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti SX4 S Cross DDiS 320 Zeta,Chennai,73000,2015,8,22.7,1598.0,118.0,5.0,0.0,8.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VXI BSIII,Ahmedabad,65000,2008,15,16.1,1298.0,88.2,5.0,0.0,2.71,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Xcent 1.2 Kappa SX,Kolkata,32000,2016,7,19.1,1197.0,82.0,5.0,0.0,3.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai i20 1.2 Magna,Ahmedabad,65000,2010,13,18.5,1197.0,80.0,5.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Celerio VXI AT,Hyderabad,21600,2016,7,23.1,998.0,67.04,5.0,0.0,4.65,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,39000,2010,13,14.84,2143.0,170.0,5.0,0.0,9.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift Dzire VXi,Mumbai,58075,2011,12,17.5,1298.0,85.8,5.0,0.0,2.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Vento Petrol Trendline,Mumbai,58000,2011,12,15.04,1598.0,103.6,5.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift ZDi,Hyderabad,58000,2015,8,25.2,1248.0,74.0,5.0,0.0,5.95,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Corolla Altis VL,Delhi,89000,2008,15,14.53,1798.0,138.1,5.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda Civic 2006-2010 1.8 V MT,Delhi,72000,2008,15,13.5,1799.0,130.0,5.0,0.0,2.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,1800,2017,6,16.05,1499.0,110.4,5.0,0.0,11.37,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Fiat Linea Emotion Pack (Diesel),Pune,172050,2010,13,19.0,1248.0,93.0,5.0,0.0,2.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Hyundai i10 Era,Jaipur,46230,2013,10,19.81,1086.0,68.05,5.0,0.0,3.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volvo XC60 D5 Inscription,Kochi,86925,2014,9,11.2,2400.0,215.0,5.0,0.0,17.18,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i20 1.2 Asta,Jaipur,5000,2018,5,18.6,1197.0,81.83,5.0,0.0,6.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda City i DTEC S,Ahmedabad,66000,2014,9,26.0,1498.0,98.6,5.0,0.0,5.7,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,119000,2013,10,12.99,2494.0,100.0,8.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Renault KWID RXT,Chennai,45000,2016,7,25.17,799.0,53.3,5.0,0.0,2.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti A-Star Vxi,Hyderabad,66149,2009,14,19.0,998.0,66.1,5.0,0.0,2.45,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz B Class B180,Kochi,42070,2014,9,14.8,1595.0,120.7,5.0,0.0,11.57,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Wagon R LXI BS IV,Kolkata,35503,2012,11,18.9,998.0,67.1,5.0,0.0,2.3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VDI BSIV,Jaipur,41460,2016,7,25.2,1248.0,74.0,5.0,0.0,5.9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,40600,2015,8,17.0,1591.0,121.3,5.0,15.14,7.2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,87000,2013,10,22.0,1582.0,126.2,5.0,15.72,5.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda City V MT,Chennai,30000,2014,9,16.8,1497.0,116.3,5.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Hyundai i10 Magna Optional 1.1L,Kolkata,27089,2010,13,16.0,1086.0,66.7,5.0,0.0,1.95,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Etios GD SP,Coimbatore,53702,2016,7,23.59,1364.0,67.04,5.0,0.0,6.55,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Volvo S60 D4 Momentum,Hyderabad,51000,2015,8,27.03,1969.0,190.0,5.0,45.67,25.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Ford Figo Diesel EXI,Kolkata,36542,2012,11,20.0,1399.0,68.05,5.0,0.0,2.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,15000,2017,6,13.0,2987.0,265.0,5.0,0.0,69.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 3 Series 320d Luxury Line,Chennai,65000,2012,11,22.69,1995.0,190.0,5.0,54.7,14.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Alto 800 VXI,Pune,32000,2014,9,22.74,796.0,47.3,5.0,0.0,2.1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Toyota Innova Crysta 2.4 VX MT,Hyderabad,24393,2017,6,13.68,2393.0,147.8,7.0,22.87,20.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,1000,2019,4,18.78,999.0,75.0,5.0,6.74,5.68,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Nissan Terrano XL,Mumbai,28238,2014,9,13.24,1598.0,102.5,5.0,0.0,5.55,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mitsubishi Pajero Sport 4X4,Mumbai,59000,2013,10,13.5,2477.0,175.56,7.0,33.09,12.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Civic 2010-2013 1.8 S MT,Mumbai,92000,2012,11,14.8,1799.0,130.2,5.0,0.0,3.35,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti Alto 800 LXI,Kolkata,56840,2013,10,22.74,796.0,47.3,5.0,0.0,1.55,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Vento Diesel Highline,Coimbatore,62746,2013,10,20.54,1598.0,103.6,5.0,0.0,5.9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Land Rover Freelander 2 HSE,Hyderabad,96000,2012,11,12.35,2179.0,187.74,5.0,0.0,18.98,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda CR-V 2.0L 2WD MT,Mumbai,24000,2014,9,13.7,1997.0,153.86,5.0,0.0,11.51,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Ertiga VDI,Mumbai,54000,2016,7,20.77,1248.0,88.76,7.0,0.0,7.75,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,90000,2016,7,12.99,2494.0,100.6,7.0,0.0,13.9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Manza Aura Safire,Kolkata,40000,2010,13,15.0,1368.0,90.0,5.0,0.0,1.35,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi Q7 35 TDI Quattro Premium Plus,Mumbai,65938,2015,8,12.07,2967.0,241.4,7.0,0.0,38.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,16100,2017,6,17.1,1591.0,121.4,5.0,0.0,11.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,3600,2017,6,21.5,1498.0,108.5,5.0,0.0,12.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda City 1.5 S MT,Jaipur,52000,2011,12,17.0,1497.0,118.0,5.0,0.0,3.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Ford Figo Diesel Titanium,Mumbai,54000,2014,9,20.0,1399.0,68.05,5.0,0.0,3.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Jazz 1.2 VX i VTEC,Mumbai,15399,2016,7,18.7,1199.0,88.7,5.0,0.0,6.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Polo Petrol Highline 1.2L,Bangalore,75000,2012,11,16.47,1198.0,73.9,5.0,0.0,3.95,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Honda City i-VTEC S,Delhi,76752,2010,13,17.4,1497.0,117.3,5.0,0.0,3.57,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda City ZX GXi,Mumbai,56000,2005,18,17.7,1497.0,78.0,5.0,0.0,1.25,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Honda CR-V 2.4L 4WD AT AVN,Kolkata,46125,2013,10,12.0,2354.0,187.4,5.0,0.0,12.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,35000,2014,9,18.12,1995.0,190.0,5.0,0.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Ambassador Classic Nova Diesel,Chennai,80000,2003,20,12.8,1489.0,35.5,5.0,0.0,1.35,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,62729,2012,11,12.05,2179.0,120.0,8.0,0.0,6.32,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Volkswagen Vento Diesel Comfortline,Kolkata,34000,2012,11,20.54,1598.0,103.6,5.0,0.0,3.4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Zen VX,Jaipur,70000,1999,24,17.3,993.0,60.0,5.0,0.0,0.77,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Maruti 800 DX BSII,Jaipur,32000,2009,14,16.1,796.0,37.0,4.0,0.0,0.9,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Corolla Altis 1.8 VL CVT,Delhi,21000,2017,6,14.28,1798.0,138.03,5.0,23.25,18.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
BMW 3 Series 328i Sport Line,Pune,49000,2013,10,14.59,1997.0,245.0,5.0,0.0,19.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Ford Ikon 1.3 Flair,Chennai,40000,2007,16,13.8,1299.0,70.0,5.0,0.0,1.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Chevrolet Beat LT,Pune,78000,2012,11,18.6,1199.0,79.4,5.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Toyota Corolla Altis 1.4 DG,Ahmedabad,52000,2012,11,21.43,1364.0,86.79,5.0,19.27,6.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra XUV500 W4,Bangalore,65213,2014,9,16.0,2179.0,140.0,7.0,0.0,9.45,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Xcent 1.1 CRDi Base,Mumbai,170000,2016,7,24.4,1120.0,71.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,36884,2017,6,13.0,2143.0,204.0,5.0,0.0,32.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i10 Sportz,Pune,62500,2009,14,20.36,1197.0,78.9,5.0,0.0,2.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Corolla Altis VL AT,Mumbai,68000,2015,8,14.28,1798.0,138.03,5.0,0.0,9.75,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Toyota Corolla 1.8 J,Kolkata,40748,2014,9,14.53,1798.0,138.0,5.0,0.0,6.3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Audi Q3 2.0 TDI Quattro,Hyderabad,60000,2013,10,17.32,1968.0,184.0,5.0,0.0,21.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,12400,2014,9,21.9,1396.0,88.8,5.0,0.0,4.65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,87000,2013,10,19.27,2143.0,167.62,5.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Maruti Ritz VDi,Pune,20248,2013,10,21.1,1248.0,73.9,5.0,0.0,4.35,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,52383,2017,6,19.67,1582.0,126.2,5.0,0.0,14.82,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Jaguar XE 2.0L Diesel Prestige,Delhi,1000,2018,5,13.6,1999.0,177.0,5.0,52.77,40.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Mahindra Xylo D4,Chennai,85000,2016,7,14.95,2489.0,93.7,7.0,11.67,6.15,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,47000,2014,9,12.99,2494.0,100.6,7.0,0.0,11.25,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Camry 2.5 Hybrid,Pune,17585,2018,5,19.16,2494.0,157.7,5.0,0.0,32.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Audi Q5 3.0 TDI Quattro,Coimbatore,32496,2018,5,13.22,2967.0,241.4,5.0,0.0,45.62,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Swift VDI,Kochi,34613,2017,6,28.4,1248.0,74.0,5.0,7.92,6.24,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Ertiga VDI Limited Edition,Chennai,153000,2015,8,20.77,1248.0,88.76,7.0,0.0,4.8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift VXi BSIV,Chennai,54000,2014,9,16.1,1197.0,85.0,5.0,0.0,4.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Hyundai i10 Sportz,Kochi,16900,2015,8,20.36,1197.0,78.9,5.0,0.0,3.87,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai i10 Sportz,Delhi,62334,2013,10,20.36,1197.0,78.9,5.0,0.0,2.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Baleno Sigma 1.2,Kochi,23714,2018,5,21.4,1197.0,83.1,5.0,0.0,6.57,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Accent Executive,Jaipur,52325,2010,13,16.36,1495.0,93.7,5.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Honda Brio S MT,Ahmedabad,50000,2012,11,19.4,1198.0,86.8,5.0,0.0,3.65,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Maruti Swift ZDi,Hyderabad,55746,2016,7,22.9,1248.0,74.0,5.0,0.0,6.95,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Hyundai Xcent 1.2 VTVT S,Bangalore,54000,2014,9,20.14,1197.0,81.86,5.0,7.85,5.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Mahindra XUV500 W8 2WD,Kolkata,43000,2013,10,16.0,2179.0,140.0,7.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,40000,2014,9,13.0,2143.0,201.1,5.0,0.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Land Rover Freelander 2 TD4 S,Bangalore,125000,2010,13,0.0,2179.0,115.0,5.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,51944,2016,7,19.27,2143.0,170.0,5.0,0.0,32.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Hyundai i20 Asta 1.4 CRDi,Kochi,46950,2015,8,21.27,1396.0,88.76,5.0,0.0,6.45,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Skoda Octavia Elegance 2.0 TDI AT,Mumbai,23000,2015,8,19.3,1968.0,141.0,5.0,0.0,15.75,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Honda City 1.5 S MT,Mumbai,54546,2014,9,17.0,1497.0,118.0,5.0,0.0,5.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Toyota Fortuner 4x2 AT,Kochi,51535,2015,8,12.55,2982.0,168.5,7.0,0.0,19.03,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Audi Q3 2.0 TDI Quattro,Kolkata,45000,2013,10,17.32,1968.0,184.0,5.0,0.0,15.25,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Maruti Alto K10 2010-2014 VXI,Hyderabad,46004,2012,11,20.92,998.0,67.1,5.0,0.0,2.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
Tata Indigo eCS LX BSIV,Chennai,124000,2011,12,23.03,1396.0,69.0,5.0,0.0,2.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
